category,text
disclaimer,We further expressly disclaim any warranties or representations (express or implied) in respect of quality suitability accuracy reliability completeness timeliness performance safety merchantability fitness for a particular purpose or legality of the products listed or displayed or transacted or the content (including product or pricing information and/or specifications) on the website.
permissions,You may need to create a Spotify account to access all or part of the Spotify Service.
copyright,The compilation of all content on this website is the exclusive property of Amazon Seller Services Private Limited and its affiliates and is protected by laws of India and international copyright and database right laws
age,Additional information regarding minimum age requirements can be found in the registration process.
privacy,Please review our Privacy Notice which also governs your visit to Amazon.in to understand our practices. The personal information/data provided to us by you during the course of usage of Amazon.in will be treated as strictly confidential and in accordance with the Privacy Notice and applicable laws and regulations.
thirdparty,For the purpose of clarity the date of expiry of Zomato Credits will be available on each scratch card offer.
payments,Payments: To purchase and/or renew your membership plan you can choose a payment method as available on the 'Payment' section of the Zomato Platform.
jurisdiction,"These ""Conditions of Use"" constitute an electronic record within the meaning of the applicable law. This electronic record is generated by a computer system and does not require any physical or digital signatures."
disclaimer,We shall not mediate or resolve any dispute or disagreement between you and the sellers or manufacturers of the products.
permissions,You understand that you are responsible for all access (including any unauthorized access) via your username and password.
copyright,All software used on this website is the property of Amazon Seller Services Private Limited its affiliates or its software suppliers and is protected by India and international copyright and author' rights laws.
privacy,You can refer to the product detail page on Amazon.in for checking any product details provided by the seller regarding the following:guarantees related to the authenticity or genuineness of the imported products; and guarantees or warranties applicable to such goods or services.
age,If you do not meet the minimum age requirements then Spotify will be unable to register you as a user.
thirdparty,The Customer acknowledges that Zomato bears no responsibility for the compliance with statutory rules regulations and licenses by Zomato Gold Partner Restaurant.
payments,The Customer can make a payment for the Bill Amount on the Zomato Platform by using any payment method available on the 'Payment' section on the Zomato Platform.
jurisdiction,We will not be held responsible for any delay or failure to comply with our obligations under these conditions if the delay or failure arises from any cause which is beyond our reasonable control. This condition does not affect your statutory rights.
disclaimer,While we have taken precautions to avoid inaccuracies in content this website all content information (including the price of products software products services and related graphics are provided as is without warranty of any kind.
permissions,Spotify may reclaim or require you to change your username for any reason.
copyright,You may not systematically extract/ or re-utilise parts of the contents of the website without Amazon Seller Services Private Limited and / or its affiliate's (as may be applicable) express written consent.
privacy,Because Amazon.in lists millions of products for sale offered by sellers on the website and hosts many thousands of comments it is not possible for us to be aware of the contents of each product listed for sale or each comment or review that is displayed. Accordingly Amazon.in operates on a 'notice and takedown' basis.
age,Reside in a country where the Service is available.
thirdparty,Zomato Gold Partner Restaurants reserve the right to refuse service to anyone in accordance with its policies.=
payments,The Customer will be solely responsible to pay the restaurant partnered with Zomato for Zomato Pay the Bill Amount along with all costs and charges payable for all the other items for which you have placed an Order and which are not covered under the Bill Amount.
disclaimer,We do not implicitly or explicitly support or endorse the sale or purchase of any products on the website.
